marca,modelo,cilindrada,transmision,combustible,urbano,ruta,mixto
MERCEDES-BENZ,SPRINTER 316 CDI,2143,MANUAL,GAS OIL,10.7,7.6,8.8
MERCEDES-BENZ,E 350,1991,AUTOMATICA,NAFTA - ELECTRICIDAD,10.1,6.0,7.5
CHEVROLET,CRUZE 1.4 ,1399,AUTOMATICA,NAFTA,8.26,5.84,6.73
CHEVROLET,CRUZE 1.4 ,1399,AUOTMATICA,NAFTA,8.26,5.84,6.72
CHEVROLET,CRUZE 1.4,1399,MANUAL,NAFTA,8.23,5.58,6.56
BMW,X2 M35i,1998,AUTOMATICA,NAFTA,9.2,6.3,7.4
MERCEDES-BENZ,GLE 450 4MATIC,2999,AUTOMATICA,NAFTA - ELECTRICIDAD,11.1,8.0,9.1
CITROEN,C4 SPACETOURER,1560,MANUAL,GAS OIL,5.09,3.69,4.19
CITROEN,GRAND C4 SPACETOURER,1560,MANUAL,GAS OIL,5.09,3.69,4.19
LAND ROVER,RANGE ROVER EVOQUE,1997,AUTOMATICA,NAFTA - ELECTRICIDAD,12.71,7.91,9.31
PEUGEOT,2008,1587,MANUAL,NAFTA,10.78,6.63,8.15
PEUGEOT,308,1560,MANUAL,GAS OIL,6.65,5.41,5.87
FORD,MUSTANG,5038,MANUAL,NAFTA,19.3,9.3,13.0
FORD,RANGER,2488,MANUAL,NAFTA,15.0,9.3,11.4
CHEVROLET,ONIX 1.2,1199,MANUAL,NAFTA,8.0,4.7,5.9
MERCEDES-BENZ,VITO 121,1991,AUTOMATICA,NAFTA,11.3,7.6,9.0
MERCEDES-BENZ,VITO TOURER 121 ,1991,AUTOMATICA,NAFTA,11.3,7.6,9.0
MERCEDES-BENZ,VITO 111 CDI,1598,MANUAL,GAS OIL,8.0,5.7,6.5
RENAULT,SANDERO Ph2 1.6. SANDERO Ph2 GT Line 1.6,1598,MANUAL,NAFTA,9.0,5.74,6.95
RENAULT,SANDERO Ph2 STEPWAY 1.6,1598,MANUAL,NAFTA,9.25,6.0,7.2
RENAULT,LOGAN Ph2 1.6,1598,MANUAL,NAFTA,9.0,5.74,6.95
MITSUBISHI,OUTLANDER,2360,CTT,NAFTA,9.2,6.0,7.2
HONDA,PILOT,3471,AUTOMATICA,NAFTA,7.0,12.8,9.8
FIAT,ARGO TREKKING 1.3,1332,MANUAL,NAFTA,8.39,5.49,6.56
HONDA,PILOT TOURING,3471,AUTOMATICA,NAFTA,7.0,12.8,9.8
CITROEN,C4 SPACETOURER,1598,MANUAL,NAFTA,8.9,5.0,6.4
RENAULT,SANDERO Ph2 1.6 CVT. SANDERO Ph2 GT LINE 1.6 CVT,1598,CVT,NAFTA,8.75,5.63,6.78
RENAULT,SANDERO Ph2 STEPWAY 1.6 CVT,1598,CVT,NAFTA,8.8,5.83,6.93
TOYOTA,C-HR,1798,CVT,NAFTA - ELECTRICIDAD,2.39,5.53,4.38
RENAULT,LOGAN Ph2 1.6,1598,CVT,NAFTA,8.8,5.84,6.93
HYUNDAI,CRETA 1.6,1591,AUTOMATICA,NAFTA,9.49,6.31,7.49
CITROEN,C5 AIRCROSS,1997,AUTOMATICA,GAS OIL,6.6,4.8,5.4
MERCEDES-BENZ,MERCEDES-AMG E 53 4MATIC+ ,2999,AUTOMATICA,NAFTA - ELECTRICIDAD,11.8,7.4,9.0
CITROEN,C5 AIRCROSS,1598,AUTOMATICA,NAFTA,10.5,6.3,7.9
FORD,KUGA 2.5L FHEV,2488,E-CVT (Hibrida controlada electronicamente) ,NAFTA - ELECTRICIDAD,4.1,5.8,5.1
MERCEDES-BENZ,MERCEDES-AMG A 35 4MATIC,1991,AUTOMATICA,NAFTA,9.3,6.6,7.6
CHEVROLET,ONIX PLUS 1.2,1199,MANUAL,NAFTA,8.0,4.7,5.9
HYUNDAI,KONA 1.6T,1591,AUTOMATICA,NAFTA,9.45,6.4,7.49
AUDI,A1,999,AUTOMATICA,NAFTA,6.3,4.9,5.4
VOLKSWAGEN,TOUAREG,2967,AUTOMATICA,GAS OIL,8.5,6.7,7.4
SUZUKI,BALENO,1373,MANUAL,NAFTA,6.4,4.4,5.1
SUZUKI,BALENO,1373,AUTOMATICA,NAFTA,6.9,4.6,5.5
CHEVROLET,ONIX 1.0T,1000,MANUAL,NAFTA,7.61,4.51,5.63
VOLKSWAGEN,TOUAREG,2995,AUTOMATICA,NAFTA,12.0,7.9,9.4
VOLKSWAGEN,BEETLE,1984,AUTOMATICA,NAFTA,10.5,6.5,8.0
BMW,750Li xDrive,4395,AUTOMATICA,NAFTA,14.5,7.7,10.2
VOLKSWAGEN,BEETLE,1390,MANUAL,NAFTA,9.0,5.8,7.0
CHEVROLET,ONIX PLUS 1.0T,1000,MANUAL,NAFTA,7.81,4.46,5.69
VOLKSWAGEN,BEETLE,1390,AUTOMATICA,NAFTA,8.2,5.7,6.6
CHEVROLET,ONIX PLUS 1.0T,1000,AUTOMATICA,NAFTA,8.42,4.78,6.12
NISSAN,V-DRIVE,1598,MANUAL,NAFTA,8.3,5.3,6.4
NISSAN,V-DRIVE,1598,AUTOMATICA,NAFTA,8.9,5.5,6.7
HONDA,CR-V,2356,CVT,NAFTA,10.1,5.9,7.43
CHEVROLET,ONIX JOY 1.4,1389,MANUAL,NAFTA,9.71,5.65,7.14
CHEVROLET,ONIX PLUS JOY 1.4,1389,MANUAL,NAFTA,9.53,5.48,6.99
MERCEDES-BENZ,GLC 300 4MATIC,1991,AUTOMATICA,NAFTA,10.08,6.8,8.4
HONDA,CR-V,1498,CVT,NAFTA,8.7,5.8,6.9
CHEVROLET,SPIN ACTIV 1.8,1796,MANUAL,NAFTA,10.68,6.64,8.13
CHEVROLET,SPIN 1.8,1796,AUTOMATICA,NAFTA,10.29,5.8,7.45
CHEVROLET,SPIN ACTIV 1.8,1796,AUTOMATICA,NAFTA,10.9,6.6,8.2
BMW,M135i xDrive,1998,AUTOMATICA,NAFTA,9.3,6.4,7.5
CHEVROLET,MONTANA 1.8,1796,MANUAL,NAFTA,11.4,6.7,8.4
BMW,X3M - X4M,2993,AUTOMATICA,NAFTA,14.1,8.6,10.6
CHEVROLET,COBALT 1.8,1796,MANUAL,NAFTA,10.5,5.6,7.4
CHEVROLET,COBALT 1.8,1796,AUTOMATICA,NAFTA,11.54,5.86,7.91
CHEVROLET,TRACKER 1.8,1796,MANUAL,NAFTA,11.43,6.3,8.19
CHEVROLET,TRACKER 1.8,1796,AUTOMATICA,NAFTA,12.06,6.91,8.8
AUDI,Q3,1395,AUTOMATICA,NAFTA,9.4,6.1,7.3
RENAULT,DUSTER OROCH 1.6 16v,1598,MANUAL,NAFTA,9.7,6.5,7.7
MERCEDES-BENZ,GLB 250 4MATIC,1991,AUTOMATICA,NAFTA,9.8,6.6,7.8
FORD,TERITORY,1490,CVT,NAFTA,11.0,7.3,8.7
FORD,RANGER,3198,MANUAL,GAS OIL,10.5,7.6,8.7
CHEVROLET,SPIN 1.8 MANUAL,1796,MANUAL,NAFTA,10.45,6.22,7.78
CHEVROLET,CAMARO,6162,MANUAL,NAFTA,17.4,7.8,11.3
FORD,RANGER,2198,AUTOMATICA,GAS OIL,9.7,6.7,7.8
FORD,RANGER,3198,AUTOMATICA,GAS OIL,11.3,6.9,8.5
MERCEDES-BENZ,MERCEDES-AMG GLC 63 4MATIC+ - Mercedes-AMG GLC 63 S 4MATIC+,3982,AUTOMATICA,NAFTA,18.0,8.9,12.2
CHEVROLET,TRACKER 1.2T,1199,MANUAL,NAFTA,7.8,5.0,6.0
CHEVROLET,TRACKER 1.2T,1199,AUTOMATICA,NAFTA,9.6,5.7,7.1
JEEP,GRAND CHEROKEE: LAREDO 3.6,3604,AUTOMATICA,NAFTA,13.94,8.3,10.38
JEEP,GRAND CHEROKEE: LAREDO LIMITED 3.6,3604,AUTOMATICA,NAFTA,13.94,8.3,10.38
JEEP,GRAND CHEROKEE: LAREDO OVERLAND 3.6,3604,AUTOMATICA,NAFTA,13.94,8.3,10.38
JEEP,GRAND CHEROKEE: LAREDO SUMMIT 3.6,3604,AUTOMATICA,NAFTA,13.94,8.3,10.38
JEEP,GRAND CHEROKEE SRT,6417,AUTOMATICA,NAFTA,20.3,9.6,13.5
AUDI,Q3 SPORTBACK,1395,AUTOMATICA,NAFTA,9.4,6.1,7.3
MERCEDES-BENZ,Mercedes-AMG A 45 4MATIC - Mercedes-AMG A 45 S 4MATIC,1991,AUTOMATICA,NAFTA,12.1,7.4,9.0
MERCEDES-BENZ,Mercedes-AMG A 45 S 4MATIC,1991,AUTOMATICA,NAFTA,12.1,7.4,9.0
AUDI,A6 -A6 ALLROAD,2995,AUTOMATICA,NAFTA - ELECTRICIDAD,9.8,6.5,7.7
AUDI,Q7,2995,AUTOMATICA,NAFTA - ELECTRICIDAD,11.5,8.2,9.4
NISSAN,VERSA,1598,MANUAL,NAFTA,8.0,5.0,6.1
NISSAN,VERSA,1598,CVT,NAFTA,7.5,4.9,5.9
CHEVROLET,S10 2.8,2776,MANUAL,GAS OIL,10.9,7.9,9.0
MERCEDES-BENZ,GLS 580 4MATIC,3982,AUTOMATICA,NAFTA - ELECTRICIDAD,12.7,8.8,10.2
MERCEDES-BENZ,MERCEDES-AMG GLC 43 4MATIC,2996,AUTOMATICA,NAFTA,14.1,7.8,10.1
CHEVROLET,S10 2.8,2776,AUTOMATICA,GAS OIL,11.6,7.8,9.2
CHEVROLET,TRAILBLAZER 2.8,2776,AUTOMATICA,GAS OIL,11.9,8.0,9.5
MERCEDES-BENZ,CLA 250,1991,AUTOMATICA,NAFTA,9.1,5.3,6.7
MERCEDES-BENZ,CLA 200,1332,AUTOMATICA,NAFTA,7.4,4.8,5.8
MERCEDES-BENZ,GLA 250 4MATIC,1991,AUTOMATICA,NAFTA,9.7,6.3,7.5
MERCEDES-BENZ,MERCEDES-AMG GLA 35 4MATIC,1991,AUTOMATICA,NAFTA,10.0,6.8,8.0
MERCEDES-BENZ,MERCEDES-AMG GLB 35 4MATIC,1991,AUTOMATICA,NAFTA,10.1,7.1,8.3
MERCEDES-BENZ,GLA 200,1332,AUTOMATICA,NAFTA,8.3,5.1,6.3
MERCEDES-BENZ,GLB 200,1332,AUTOMATICA,NAFTA,8.6,5.3,6.6
VOLKSWAGEN,POLO GTS,1395,AUTOMATICA,NAFTA,10.3,5.7,7.4
VOLKSWAGEN,POLO,1395,AUTOMATICA,NAFTA,10.3,5.7,7.4
VOLKSWAGEN,VIRTUS GTS,1395,AUTOMATICA,NAFTA,10.1,5.5,7.2
VOLKSWAGEN,VIRTUS,1395,AUTOMATICA,NAFTA,10.1,5.5,7.2
RENAULT,NUEVO DUSTER 1.3 CVT,1333,CVT,NAFTA,9.2,6.0,7.2
RENAULT,NUEVO DUSTER 1.3,1333,MANUAL,NAFTA,10.3,6.2,7.7
HYUNDAI,VENUE,1591,AUTOMATICA,NAFTA,9.5,5.9,7.2
AUDI,Q3 - Q3 SPORTBACK,1984,AUTOMATICA,NAFTA,10.2,7.2,8.3
FORD,F150,5038,AUTOMATICA,NAFTA,17.7,9.4,12.4
MERCEDES-BENZ,GLE 450 4MATIC,2999,AUTOMATICA,NAFTA - ELECTRICIDAD,11.7,7.5,9.0
AUDI,Q7,2967,AUTOMATICA,GAS OIL,9.4,7.2,8.0
MERCEDES-BENZ,MERCEDES-AMG GLE 53 4MATIC+ (167.161),2999,AUTOMATICA,NAFTA - ELECTRICIDAD,11.8,8.0,9.4
MERCEDES-BENZ,MERCEDES-AMG GLE 53 4MATIC+ (167.361),2999,AUTOMATICA,NAFTA - ELECTRICIDAD,11.7,7.9,9.3
HYUNDAI,VENUE,1591,MANUAL,NAFTA,9.2,5.8,7.0
TOYOTA,HILUX,2393,AUTOMATICA,GAS OIL,9.0,6.6,7.5
FIAT,STRADA VOLCANO 1.3 CD (R16),1332,MANUAL,NAFTA,9.0,5.9,7.1
TOYOTA,HILUX,2755,AUTOMATICA,GAS OIL,9.1,6.8,7.6
TOYOTA,HILUX,2755,MANUAL,GAS OIL,8.6,6.5,7.3
TOYOTA,HILUX,2393,MANUAL,GAS OIL,8.3,6.8,7.4
JEEP,GLADIATOR SPORT 3.6L AT8. GLADIATOR OVERLAND 3.6L AT8,3604,AUTOMATICA,NAFTA,15.4,10.5,12.3
JEEP,GLADIATOR OVERLAND 3.6L AT8,3604,AUTOMATICA,NAFTA,15.4,10.5,12.3
JEEP,GLADIATOR RUBICON 3.6L AT8,3604,AUTOMATICA,NAFTA,15.3,10.7,12.4
NISSAN,NP 300 FRONTIER,2298,AUTOMATICA,GAS OIL,9.6,6.3,7.5
NISSAN,SENTRA,1997,MANUAL,NAFTA,10.6,5.5,7.4
VOLVO,XC40 T4,1969,AUTOMATICA,NAFTA,10.5,6.4,7.9
NISSAN,X-TRAIL,2488,CVT,NAFTA,11.0,6.8,8.3
NISSAN,SENTRA,1997,CVT,NAFTA,9.2,5.3,6.7
TOYOTA,SW4,2755,MANUAL,GAS OIL,8.4,6.5,7.2
TOYOTA,SW4,2755,AUTOMATICA,GAS OIL,9.1,6.8,7.6
HYUNDAI,CRETA 1.6,1591,AUTOMATICA,NAFTA,10.2,6.1,7.6
TOYOTA,HILUX,2694,MANUAL,NAFTA,14.6,9.4,11.3
KAIRUI,K60,1497,MANUAL,NAFTA,9.6,6.4,7.6
TOYOTA,YARIS,1496,MANUAL,NAFTA,7.88,5.14,6.15
TOYOTA,YARIS,1496,CVT,NAFTA,7.19,5.07,5.85
TOYOTA,SW4,2694,AUTOMATICA,NAFTA,13.9,9.5,11.1
VOLKSWAGEN,NIVUS,999,AUTOMATICA,NAFTA,9.3,5.6,6.9
RENAULT,NUEVO DUSTER 1.6,1598,MANUAL,NAFTA,9.3,6.4,7.5
RENAULT,NUEVO DUSTER 1.6 CVT,1598,CVT,NAFTA,9.1,6.0,7.2
FIAT,MOBI TREKKING. MOBI LIKE,999,MANUAL,NAFTA,8.65,5.19,6.46
FIAT,MOBI LIKE,999,MANUAL,NAFTA,8.65,5.19,6.46
FIAT,MOBI TREKKING,999,MANUAL,NAFTA,8.65,5.19,6.46
FIAT,MOBI EASY,999,MANUAL,NAFTA,8.65,5.19,6.46
HONDA,HR-V,1799,CVT,NAFTA,8.2,5.5,6.5
HONDA,ACCOR HYBRID,1993,CVT,NAFTA - ELECTRICIDAD,2.6,4.9,4.0
RENAULT,KANGOO 1.6 FURGON,1598,MANUAL,NAFTA,9.9,6.4,7.7
RENAULT,KANGOO 1.6 CROSS,1598,MANUAL,NAFTA,9.9,6.4,7.7
FIAT,500 SPORT HYBRID,999,MANUAL,NAFTA - ELECTRICIDAD,5.08,3.7,4.2
RENAULT,KANGOO 1.6,1598,MANUAL,NAFTA,9.9,6.4,7.7
AUDI,A5 COUPE,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,8.0,5.4,6.4
AUDI,A5 CABRIO,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,8.3,6.8,6.7
AUDI,A5 SPORTBACK,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,8.1,5.6,6.5
AUDI,A4 AVANT,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,8.1,5.5,6.5
AUDI,A4,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,7.9,5.3,6.3
HONDA,PILOT TOURING AWD,3471,AUTOMATICA,NAFTA,14.5,8.0,10.4
HONDA,PILOT EX 2WD,3471,AUTOMATICA,NAFTA,14.5,8.0,10.4
TOYOTA,COROLLA CROSS,1798,CVT,NAFTA - ELECTRICIDAD,4.0,4.69,4.43
RENAULT,CAPTUR Ph2 1.3T,1333,CVT,NAFTA,9.7,5.9,7.3
RENAULT,CAPTUR Ph2 1.6 CVT,1598,CVT,NAFTA,9.7,6.2,7.4
RENAULT,CAPTUR Ph2 1.6 MT,1598,MANUAL,NAFTA,9.38,6.28,7.43
VOLKSWAGEN,TAOS,1395,AUTOMATICA,NAFTA,9.9,6.0,7.5
VOLKSWAGEN,T-CROSS,999,AUTOMATICA,NAFTA,9.8,5.9,7.3
CHERY,TIGGO 4,1499,MANUAL,NAFTA,9.3,6.3,7.4
AUDI,A4 ALLROAD A5 CABRIO,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,8.9,6.1,7.1
AUDI,A5 COUPE,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,8.9,6.0,7.1
FORD,ECOSPORT,1496,MANUAL,NAFTA,8.74,5.34,6.59
FORD,ECOSPORT,1496,AUTOMATICA,NAFTA,9.47,5.73,7.1
MERCEDES-BENZ,S500 4MATIC,2999,AUTOMATICA,NAFTA - ELECTRICIDAD,11.7,6.8,8.6
FIAT,TORO FREEDOM 1.8 AT6. TORO ENDURANCE 1.8 AT6,1747,AUTOMATICA,NAFTA,11.25,6.69,8.37
FIAT,TORO ENDURANCE 1.8 AT6,1747,AUTOMATICA,NAFTA,11.25,6.69,8.37
FIAT,TORO ENDURANCE 2.0 AT9,1956,AUTOMATICA,GAS OIL,9.68,6.54,7.7
CHERY,TIGGO 4,1499,AUTOMATICA,NAFTA,8.8,5.8,6.9
FIAT,TORO ULTRA 2.0 AT9,1956,AUTOMATICA,GAS OIL,10.2,7.2,8.31
FIAT,TORO FREEDOM 2.0 AT9. TORO VOLCANO 2.0 AT9,1956,AUTOMATICA,GAS OIL,10.11,6.89,8.0
FIAT,TORO VOLCANO 2.0 AT9,1956,AUTOMATICA,GAS OIL,10.11,6.89,8.0
FIAT,TORO RANCH 2.0 AT9 4WD JTD,1956,AUTOMATICA,GAS OIL,10.11,6.89,8.0
VOLKSWAGEN,POLO,1598,MANUAL,NAFTA,8.8,5.8,6.9
VOLKSWAGEN,VIRTUS,1598,MANUAL,NAFTA,8.6,5.6,6.7
VOLKSWAGEN,POLO,1598,AUTOMATICA,NAFTA,9.9,6.2,7.5
VOLKSWAGEN,VIRTUS,1598,AUTOMATICA,NAFTA,9.8,5.6,7.2
CHERY,TIGGO 2,1497,CVT,NAFTA,10.5,6.5,8.0
CHERY,TIGGO 2,1497,MANUAL,NAFTA,9.6,6.1,7.4
ISUZU,D-MAX,2999,MANUAL,GAS OIL,9.32,6.25,7.37
JEEP,COMPASS TRAILHAWK 2.0 AT9,1956,AUTOMATICA,GAS OIL,10.0,6.28,7.66
JEEP,COMPASS LIMITED 1.3 AT6,1332,AUTOMATICA,NAFTA,8.46,6.47,7.2
JEEP,COMPASS LONGITUDE 1.3 AT6. COMPASS LIMITED 1.3 AT6,1332,AUTOMATICA,NAFTA,8.46,6.47,7.2
JEEP,COMPASS SPORT 1.3 AT6,1332,AUTOMATICA,NAFTA,8.34,6.14,6.94
FIAT,TORO VOLCANO 1.3 AT6,1332,AUTOMATICA,NAFTA,9.64,6.59,7.72
VOLKSWAGEN,NIVUS,999,MANUAL,NAFTA,7.4,5.0,5.9
VOLVO,XC90,1969,AUTOMATICA,NAFTA - ELECTRICIDAD,9.61,6.55,7.66
VOLVO,XC60,1969,AUTOMATICA,NAFTA - ELECTRICIDAD,9.3,6.2,7.32
TOYOTA,LAND CRUISER PRADO,3956,AUTOMATICA,NAFTA,15.42,9.2,11.49
JEEP,COMMANDER LIM TD380. COMMANDER OVR TD380,1956,AUTOMATICA,GAS OIL,9.72,6.14,7.47
TOYOTA,LAND CRUISER 300,3346,AUTOMATICA,GAS OIL,11.0,7.5,8.8
CHERY,TIGOO 8,1498,AUTOMATICA,NAFTA,9.8,6.4,7.6
CHERY,TIGOO 8,1498,MANUAL,NAFTA,9.5,6.3,7.5
FIAT,CRONOS DRIVE 1.3. CRONOS 1.3,1332,MANUAL,NAFTA,8.1,5.29,6.33
LAND ROVER,DEFENDER,1999,AUTOMATICA,GAS OIL,8.4,7.3,7.6
LAND ROVER,DEFENDER,2997,AUTOMATICA,GAS OIL,9.9,6.8,8.0
SUBARU,OUTBACK,2498,CVT,NAFTA,9.3,6.2,7.3
BMW,M3 COMPETITION - M4 COMPETITION,2993,AUTOMATICA,NAFTA,13.2,7.5,9.6
AUDI,Q5,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,9.7,7.0,8.0
AUDI,Q5 SPORTBACK,1984,AUTOMATICA,NAFTA - ELECTRICIDAD,9.7,7.0,8.0
AUDI,Q2,1395,AUTOMATICA,NAFTA,7.5,5.3,6.1
RAM,RAM 1500SLT 5.7L AT8,5654,AUTOMATICA,NAFTA,20.91,11.29,14.85
AUDI,RSQ8,3996,AUTOMATICA,NAFTA - ELECTRICIDAD,16.9,9.3,12.1
JEEP,COMMANDER LIM T270. COMMANDER OVR T270,1332,AUTOMATICA,NAFTA,8.64,6.15,7.07
FIAT,FIORINO ENDURANCE 1.4L,1368,MANUAL,NAFTA,9.39,5.8,7.12
FIAT,PULSE MT,1332,MANUAL,NAFTA,8.42,5.1,6.33
AUDI,A1 SPORTBACK,1984,AUTOMATICA,NAFTA,8.0,5.3,6.3
FIAT,PULSE DRIVE AT,1332,CVT,NAFTA,7.84,5.1,6.11
FIAT,PULSE AUDACE T200 - PULSE IMPETUS T200,999,CVT,NAFTA,8.78,5.59,6.76
HYUNDAI,TUCSON HTRAC,1598,AUTOMATICA,NAFTA,8.1,5.94,6.73
HYUNDAI,TUCSON 1.6T. TUCSON 1.6 HTRAC,1598,AUTOMATICA,NAFTA,8.1,5.94,6.73
HYUNDAI,TUCSON 1.6 HTRAC,1598,AUTOMATICA,NAFTA,8.1,5.94,6.73
HYUNDAI,TUCSON HTRAC,1999,MANUAL,NAFTA,9.81,6.42,7.67
HYUNDAI,TUCSON HTRAC,1999,AUTOMATICA,NAFTA,10.95,6.42,8.07
VOLKSWAGEN,T-CROSS,999,MANUAL,NAFTA,8.2,5.2,6.3
RENAULT,KWID Ph2 1.0,999,MANUAL,NAFTA,6.53,4.41,5.15
VOLVO,XC40 B5,1969,AUTOMATICA,NAFTA - ELECTRICIDAD,9.2,6.1,7.2
TOYOTA,ETIOS AIBO,1496,MANUAL,NAFTA,7.37,5.02,5.89
CHERY,TIGGO 4,1499,CVT,NAFTA,9.4,6.2,7.3
CHERY,TIGGO 8,1598,AUTOMATICA,NAFTA,8.6,6.2,7.0
SUBARU,FORESTER,1995,CVT,NAFTA,9.3,6.2,7.3
SUBARU,FORESTER,2498,CVT,NAFTA,9.4,6.4,7.5
MERCEDES-BENZ,C 300,1999,AUTOMATICA,NAFTA - ELECTRICIDAD,10.4,5.4,7.4
JEEP,GRAND CHEROKEE: LAREDO 3.6L AT8,3604,AUTOMATICA,NAFTA,14.85,9.49,11.46
JEEP,GRAND CHEROKEE: LIMITED 3.6L AT8,3604,AUTOMATICA,NAFTA,14.85,9.49,11.46
JEEP,GRAND CHEROKEE: OVERLAND 3.6L AT8,3604,AUTOMATICA,NAFTA,14.85,9.49,11.46
VOLKSWAGEN,VENTO,1385,AUTOMATICA,NAFTA,8.3,5.3,6.4
VOLKSWAGEN,VENTO GLI,1984,AUTOMATICA,NAFTA,9.2,5.7,7.0
RENAULT,NUEVA OROCH 1.6,1598,MANUAL,NAFTA,10.05,6.5,7.8
RENAULT,NUEVA OROCH 1.3T,1333,CVT,NAFTA,9.74,6.4,7.63
RENAULT,NUEVA OROCH 1.3T,1333,MANUAL,NAFTA,11.61,7.46,8.98
CITROEN,C3 FEEL PACK 1.6 AT,1587,AUTOMATICA,NAFTA,11.3,7.1,8.7
CITROEN,C3 FEEL 1.6 MT,1587,MANUAL,NAFTA,9.78,5.9,7.33
BMW,X3 xDRIVE 20i - X4,1998,AUTOMATICA,NAFTA,8.8,7.0,7.83
BMW,X3 xDRIVE 30i - X4,1998,AUTOMATICA,NAFTA,9.0,7.2,8.0
VOLVO,XC60 B5,1969,AUTOMATICA,NAFTA - ELECTRICIDAD,9.8,6.5,7.7
HYUNDAI,STARIA,2199,MANUAL,GAS OIL,9.8,6.6,7.8
HYUNDAI,STARIA,2199,AUTOMATICA,GAS OIL,10.0,6.4,7.7
CITROEN,C3 LIVE 1.2 MT,1199,MANUAL,NAFTA,8.37,5.38,6.48
CITROEN,C3 LIVE PACK 1.2 MT,1199,MANUAL,NAFTA,8.37,5.38,6.48
CITROEN,C3 FEEL 1.2 MT,1199,MANUAL,NAFTA,8.37,5.38,6.48
MERCEDES-BENZ,C 200,1496,AUTOMATICA,NAFTA - ELECTRICIDAD,9.8,5.4,7.0
HYUNDAI,CRETA 1.5,1497,CVT,NAFTA,8.1,5.8,6.6
VOLKSWAGEN,TIGUAN LWB,1984,AUTOMATICA,NAFTA,11.21,7.9,9.11
AUDI,A3 - A3 SPORTBACK,1984,AUTOMATICA,NAFTA,8.1,5.3,6.3
AUDI,Q2,1984,AUTOMATICA,NAFTA,8.8,5.9,7.0
AUDI,SQ5 - SQ5 SPORTBACK,1995,AUTOMATICA,NAFTA,11.8,7.8,9.2
JEEP,RENEGADE TRAILHAWK 1.3 AT9,1332,AUTOMATICA,NAFTA,11.88,7.34,9.03
FIAT,ARGO DRIVE 1.3,1332,MANUAL,NAFTA,8.1,5.0,6.1
JEEP,RENEGADE LONGITUDE 1.3 AT6,1332,AUTOMATICA,NAFTA,10.04,6.05,7.54
FIAT,STRADA VOLCANO 1.3 CVT CD,1332,CVT,NAFTA,8.11,5.47,6.45
FIAT,STRADA RANCH 1.3 CVT CD,1332,CVT,NAFTA,8.11,5.47,6.45
JEEP,RENEGADE SPORT 1.8 AT6,1747,AUTOMATICA,NAFTA,11.1,6.33,8.07
JEEP,RENEGADE SPORT 1.8 MT5,1747,MANUAL,NAFTA,10.6,6.27,7.88
CHERY,TIGGO 4 PRO,1498,CVT,NAFTA,9.2,5.8,7.1
FIAT,CRONOS PRECISION 1.3 AT,1332,CVT,NAFTA,7.88,4.97,6.04
FIAT,CRONOS DRIVE 1.3 AT,1332,CVT,NAFTA,7.88,4.97,6.04
FIAT,ARGO DRIVE 1.3 AT,1332,CVT,NAFTA,8.0,5.23,6.27
FIAT,ARGO TREKKING 1.3 AT,1332,CVT,NAFTA,7.99,5.33,6.32
TOYOTA,ETIOS,1496,AUTOMATICA,NAFTA,7.79,5.2,6.15
TOYOTA,ETIOS,1496,MANUAL,NAFTA,7.37,5.02,5.89
FORD,RANGER RAPTOR,2956,AUTOMATICA,NAFTA,14.1,10.1,11.6
FIAT,TORO RANCH 2.0 AT9 4WD JTD,1956,AUTOMATICA,GAS OIL,9.87,6.29,7.62
FIAT,TORO VOLCANO 2.0 AT9 4WD JTD,1956,AUTOMATICA,GAS OIL,9.87,6.29,7.62
FIAT,TORO ULTRA 2.0 AT9 4WD JTD,1956,AUTOMATICA,GAS OIL,10.52,6.57,9.03
FIAT,TORO FREEDOM 2.0 AT9 4WD JTD,1956,AUTOMATICA,GAS OIL,10.52,6.57,9.03
PEUGEOT,LANDTREK,2179,AUTOMATICA,GAS OIL,10.3,7.8,8.8
VOLVO,XC90 T8,1969,AUTOMATICA,NAFTA - ELECTRICIDAD,0.0,7.3,1.8
JEEP,RENEGADE SPORT  1.3 AT6,1332,AUTOMATICA,NAFTA,10.4,6.05,7.54
HONDA,CIVIC,1993,AUTOMATICA,NAFTA - ELECTRICIDAD,1.98,5.36,4.12
FIAT,STRADA FREEDOM 1.4 CD,1368,MANUAL,NAFTA,9.79,5.76,7.25
FIAT,STRADA ENDURANCE 1.4 CD - STRADA ENDURANCE 1.4 CS,1368,MANUAL,NAFTA,9.79,5.76,7.25
FIAT,STRADA ENDURANCE 1.4 CS,1368,MANUAL,NAFTA,9.79,5.76,7.25
PEUGEOT,LANDTREK BLUEHDI 2.2,2179,MANUAL,GAS OIL,10.4,7.1,8.3
CITROEN,C5 AIRCROSS THP 165 EAT6 FEEL PACK AM22,1598,AUTOMATICA,NAFTA,10.5,6.3,7.9
ALFA ROMEO,GIULIA VELOCE 2.0 AWD,1995,AUTOMATICA,NAFTA,9.04,5.0,6.47
