marca,modelo,cilindrada,transmision,combustible,urbano,ruta,mixto
HONDA,CR-V,1498,CVT,NAFTA,8.7,5.8,6.9
VOLKSWAGEN,AMAROK,2967,AUTOMATICA,GAS OIL,10.6,8.3,9.1
ALFA ROMEO,GIULIA,1995,AUTOMATICA,NAFTA,12.94,6.12,8.65
ALFA ROMEO,GIULIA QUADRIFOGLIO,2891,AUTOMATICA,NAFTA,12.42,5.72,8.15
PEUGEOT,TRAVELLER,1997,AUTOMATICA,GAS OIL,7.3,5.8,6.4
CITROEN,SPACETOURER,1997,AUTOMATICA,GAS OIL,7.3,5.8,6.4
TOYOTA,HILUX,2393,MANUAL,GAS OIL,8.9,6.6,7.5
TOYOTA,HILUX,2755,MANUAL,GAS OIL,9.1,7.2,7.9
TOYOTA,HILUX,2755,AUTOMATICA,GAS OIL,11.3,7.0,8.6
CHEVROLET,TRAILBLAZER 2.8,2776,AUTOMATICA,GAS OIL,12.6,8.16,9.78
TOYOTA,CAMRY,2494,AUTOMATICA,NAFTA,11.77,6.8,8.6
TOYOTA,CAMRY,3456,AUTOMATICA,NAFTA,13.0,6.7,9.0
TOYOTA,INNOVA,2694,AUTOMATICA,NAFTA,13.4,8.6,10.4
PEUGEOT,PARTNER,1587,MANUAL,NAFTA,11.43,7.28,8.8
CITROEN,BERLINGO,1587,MANUAL,NAFTA,11.43,7.28,8.8
FIAT,ARGO PRECISION 1.8 AT6,1747,AUTOMATICA,NAFTA,10.96,6.09,7.89
FIAT,ARGO HGT 1.8 AT6,1747,AUTOMATICA,NAFTA,10.96,6.09,7.89
FIAT,STRADA WORKING 1.4 CC - CD,1368,MANUAL,NAFTA,10.87,6.45,8.08
RENAULT,KANGOO 1.5 CROSS,1461,MANUAL,DIESEL,5.15,4.11,4.5
RENAULT,KANGOO 1.5 FURGON,1461,MANUAL,DIESEL,5.15,4.11,4.5
RENAULT,KANGOO 1.5,1461,MANUAL,DIESEL,5.15,4.11,4.5
FIAT,CRONOS PRESICION 1.8 AT6,1747,AUTOMATICA,NAFTA,10.96,6.09,7.89
FIAT,CRONOS DRIVE 1.3,1332,MANUAL,NAFTA,8.1,5.29,6.33
FIAT,STRADA ADVENTURE 1.6 16V CABINA DOBLE,1598,MANUAL,NAFTA,10.83,6.88,8.33
CHEVROLET,S10 2.8,2776,MANUAL,GAS OIL,11.37,7.75,9.08
